element,peak_position,peak_std,peak_fwhm,total_events,file_name
Ag,332.9857839996985,16.15490997937527,38.04481300142876,107173.0,MSL_N4000000_Ag.txt
Co,101.81128276727269,9.103312325580863,21.438300526742932,101422.0,MSL_N4000000_Co.txt
Cu,118.70491109646059,9.786698315105427,23.04767453207328,103849.0,MSL_N4000000_Cu.txt
Fe,93.74846305710983,8.77005861990841,20.653488049884306,100537.0,MSL_N4000000_Fe.txt
Mo,261.8330417419416,14.397951642670417,33.907176118488835,106369.0,MSL_N4000000_Mo.txt
Ni,110.08464773396997,9.43665523093329,22.223323068847897,102463.0,MSL_N4000000_Ni.txt
Se,166.87997974180357,11.531926861209723,27.157687758148896,106278.0,MSL_N4000000_Se.txt
Sr,211.49905168326222,12.955853262586457,30.511034433391107,106853.0,MSL_N4000000_Sr.txt
Ti,65.12701627145783,7.2456629820301375,17.063536322680974,85860.0,MSL_N4000000_Ti.txt
Zn,127.71349967633732,10.114099278139456,23.81870380001842,104035.0,MSL_N4000000_Zn.txt
Zr,235.88091219419684,13.674889112050653,32.20436385887929,106702.0,MSL_N4000000_Zr.txt
